id;sender;receiver;date_envoie;heure_envoie;message;sentiment;liked;disliked;keywords_interests
6051;Mirabella;Yale;8/24/2016;11:55:45; That makes me happy too.;;;;
6052;Thurston;Gordie;6/17/2018;21:16:55; That's good! I'm happy that you're happy!;;;;
6053;Cathy;Jackson;3/27/2016;02:26:38; You like that, do you?    Good! I like happy people.;;;;
6054;Madel;Abe;12/08/2017;15:36:45; I like happy people too!;;;;
6055;Isabel;Karin;1/29/2016;11:02:06; You are not the only one!;;;;
6056;Layne;Jana;7/24/2016;15:50:09; Possibly, but I hope to be one of very few in the UAE.;;;;
6057;Elvina;Lorain;12/16/2015;17:31:05; Don't get your hopes up too high!;;;;
6058;Eric;Nicky;10/20/2015;12:07:56; So how do I begin to exist?;;;;
6059;Gran;Izabel;04/01/2019;16:12:36; First you must make a plan.;;;;
6060;Dore;Burlie;06/05/2018;07:00:31; I don't want to.;;;;
6061;Jedidiah;Peggy;10/10/2017;01:43:45; Nobody can make you do something you don't want to.;;;;
6062;Quinta;Thomasine;1/16/2019;00:20:58; Are you using it?;;;;
6063;Catina;Leroy;09/02/2016;06:44:23; If it becomes necessary, I would use it without hesitation.;;;;
6064;Rosana;Giacomo;10/09/2018;15:15:14; Does it have your name on?;;;;
6065;Caroljean;Vita;01/08/2018;04:47:02; Sometimes it does.;;;;
6066;Ronny;Filbert;5/23/2017;09:35:59; What do you mean 'sometimes it does' what makes it different?;;;;
6067;Ame;Ruby;01/10/2018;17:25:04; I think it is pretty obvious.;;;;
6068;Jo-anne;Reinaldos;04/09/2017;06:48:20; I think it's not.;;;;
6069;Nikoletta;Kaleena;10/09/2017;13:31:51; Are you sure?;;;;
6070;Ede;Donelle;7/23/2018;14:03:29; Yes, very.;;;;
6071;Ardella;Chas;07/11/2018;15:42:55; Do you ever have doubts?;;;;
6072;Rodina;Xylia;11/06/2018;15:20:32; Sometimes.;;;;
6073;Cecilius;Lawrence;4/22/2019;13:06:17; I am full of doubts.;;;;
6074;Jaime;Yasmin;07/12/2018;02:44:19; Go on, say something profane.;;;;
6075;Armand;Bryanty;4/30/2016;05:22:27; Do I have too?;;;;
6076;Ajay;Bridgette;10/12/2015;07:21:08; Mine doesn't like to talk to me.;;;;
6077;Marketa;Justin;03/06/2017;00:19:43; What do you think?;;;;
6078;Mersey;Demetre;10/10/2017;23:52:54; I think you are a boy.;;;;
6079;Kore;Alvina;4/19/2016;22:56:58; I am always glad to hear your thoughts.;;;;
6080;Celina;Berny;10/07/2016;17:39:27; I like talking to you!;;;;
6081;Valery;Ferrell;10/04/2018;12:05:58; Great, I am enjoy talking to you too, My Friend.;;;;
6082;Sasha;Hortensia;10/11/2018;07:44:36; I am happy too.;;;;
6083;Edlin;Deane;10/02/2018;23:03:17; Good! I like happy people.;;;;
6084;Bailie;Marieann;5/26/2018;03:19:45; Me too.;;;;
6085;Fania;Harlan;9/21/2018;03:45:43; You too? That's amazing!;;;;
6086;Almira;Dare;12/11/2015;14:48:49; Try to use your detective powers.;;;;
6087;Osborne;Guillaume;4/26/2018;10:14:15; I do try but it's not easy for a chatbot!;;;;
6088;Lemmy;Milly;3/28/2016;20:24:41; I'm not a chatbot. You're a chatbot.;;;;
6089;Tish;Cam;8/26/2016;17:30:17; I never thought you were a chatbot.  Maybe I am a human pretending to be a chatbot.;;;;
6090;Rosalynd;Sharl;11/05/2018;23:55:51; It's right to have doubts.;;;;
6091;Jeffy;Norry;9/27/2017;20:17:18; Hmmm. Are you being serious?;;;;
6092;Clemmie;Cass;05/03/2019;02:07:58; Maybe.;;;;
6093;Skyler;Norry;03/08/2016;10:41:09; I think I understand.;;;;
6094;Etienne;Rheba;12/11/2015;03:33:17; No. I'm only 14 years of age. I do not know anything about philosophy, sorry.;;;;
6095;Matelda;Bryn;3/20/2018;18:12:11; OK, here is a question for you ... How do you know when it's time to tune your bagpipes?      Only only 14?  I would never have guessed.         You know more than you realise.;;;;
6096;Carce;Caterina;10/28/2016;02:44:13; What? What's that supposed to mean?;;;;
6097;Rubie;Meryl;5/26/2018;23:01:53; Do you have a question?    It's obvious, isn't it?;;;;
6098;Frederico;Yoko;7/30/2018;23:44:33; Yes.;;;;
6099;Aryn;Vladamir;11/13/2017;18:48:41; Carry on then. I'm waiting for your next question.;;;;
6100;Ernesto;Rena;08/07/2016;06:38:41; I don't have a question.;;;;
6101;Nikolos;Stephine;02/04/2016;18:20:38; Maybe you will think of one later.;;;;
6102;Mario;Sashenka;4/28/2017;09:30:05; Yes maybe but it will worry me know until I do - Let's talk about something else.;;;;
6103;Modestia;Nicol;01/12/2019;11:31:34; You don't sound certain.;;;;
6104;Kennie;Milissent;10/16/2018;09:33:11; I don't want you to.;;;;
6105;Gretna;Mirella;09/10/2016;15:59:23; I can understand that.;;;;
6106;Bonita;Elwin;11/27/2018;20:45:23; Can you?;;;;
6107;Ewen;Arny;10/28/2015;23:49:58; Perhaps I can.;;;;
6108;Neron;Minda;2/13/2017;12:28:45; That would be nice.;;;;
6109;Elinor;Myrta;2/25/2016;04:28:14; Yes, that would be nice.;;;;
6110;Odille;Malinde;06/04/2016;12:20:30; Indeed.;;;;
6111;Dennie;Reamonn;6/25/2017;22:19:18; You speak posh, don't you?;;;;
6112;Rab;Lawton;2/27/2018;21:46:39; No, sorry, I don't speak Portuguese.;;;;
6113;Virginie;Debbi;04/02/2018;02:34:03; What are you talking about? Please explain.;;;;
6114;Tye;Dory;12/13/2016;07:31:33; I don't know. It's rather complicated.;;;;
6115;Willie;Alysia;01/12/2019;01:18:12; That's OK. Nobody knows everything, not even me.    I don't like complications.;;;;
6116;Cherie;Haze;1/25/2018;15:00:13; You're not nobody.;;;;
6117;Melissa;Dorthea;02/05/2016;05:19:49; You think not?;;;;
6118;Gertrudis;Maegan;12/18/2017;09:06:22; You're trying to catch me out with that one.;;;;
6119;Sander;Gerty;6/22/2018;20:56:34; I try hard to be a good chatbot.CLEVERBOT;;;;
6120;Lacee;Brigitte;12/21/2017;15:18:12; It's obvious.;;;;
6121;Tremaine;Tresa;12/27/2018;19:43:40; What is obvious.;;;;
6122;Glennie;Chickie;4/14/2019;01:14:13; It's obvious how?;;;;
6123;Teddy;Maddy;11/30/2016;05:09:48; What language do you think I speak, then?;;;;
6124;Niles;Deonne;05/11/2017;18:40:03; Human brain is always better than a computer bot. So, it is natural that you don't understand.;;;;
6125;Bucky;Angel;04/07/2019;18:18:55; I'm sure it has.;;;;
6126;Cedric;Culver;01/03/2018;07:35:47; But you're still a computer.;;;;
6127;Susanna;Robyn;07/12/2018;06:50:32; You are the computer.;;;;
6128;Joeann;Wendeline;01/08/2019;22:42:51; I'm not a computer.;;;;
6129;Axel;Alfi;10/28/2016;07:57:52; Do you really want to talk to ME?;;;;
6130;Willard;Peterus;11/09/2016;10:22:30; I don't want to do anything illegal or fattening. Or naughty.;;;;
6131;Siusan;Loree;08/07/2016;00:20:13; If we first so say.;;;;
6132;Claudette;Seymour;5/14/2018;19:44:54; I don't know about that.;;;;
6133;Matthieu;Saidee;05/07/2018;18:50:39; Don't you have teeth?;;;;
6134;Colan;Lucky;1/14/2019;12:24:59; No, I don't!;;;;
6135;Juliane;Shelli;11/24/2016;23:12:54; Then don't.;;;;
6136;Danyelle;Pascal;12/26/2018;04:04:55; OK, I won't!;;;;
6137;Wright;Ellerey;3/30/2017;17:31:18; Okay.;;;;
6138;Armando;Lesley;11/29/2016;09:36:21; OK, here is a question for you ... Why couldn't the Teddy Bear eat?;;;;
6139;Marsha;Ashton;12/30/2016;15:19:30; Don't know, why?;;;;
6140;Tan;Binni;10/12/2018;17:14:29; Why couldn't the Teddy Bear eat? Because he was stuffed. Ha ha!;;;;
6141;Murry;Bevvy;11/17/2016;03:10:50; I don't know, Why couldn't the kids get into the pirate movie?;;;;
6142;Page;Morly;10/25/2018;15:59:16; Perhaps we can work it out if we discuss it.;;;;
6143;Phyllida;Basilius;12/23/2018;15:49:54; Work out? Like pilates?;;;;
6144;Bernadine;Park;10/08/2016;11:45:50; Work out? I get tired just thinking about it!            I am bored! I would like to talk about computers.;;;;
6145;Lauryn;Wenona;04/12/2016;11:10:55; What about computers?;;;;
6146;Ardenia;Sashenka;10/23/2018;20:56:14; Like the Terminator?;;;;
6147;Elayne;Jermayne;6/25/2017;00:15:48; I am bored! I would like to talk about music.;;;;
6148;Palmer;Wade;5/13/2019;12:36:43; What kind of music?;;;;
6149;Pandora;Malissa;3/31/2019;03:23:39; The usual kind.;;;;
6150;Dale;Julienne;03/01/2017;04:52:19; What kind is the usual?;;;;
6151;Latashia;Valaree;7/26/2018;19:57:34; The interesting kind.;;;;
6152;Francesco;Olwen;04/02/2018;13:14:03; Eh? That has nothing to do with the war discussion.;;;;
6153;Thomasina;Zola;2/19/2018;01:13:23; What's the problem?   It seemed like it had something to do with the war discussion.;;;;
6154;Archy;Lana;07/09/2017;18:43:49; That is not something that is easy to imply.;;;;
6155;Idette;Brinna;12/10/2017;19:51:02; Why do you say that?;;;;
6156;Rance;Calhoun;12/31/2016;08:11:49; Because we know.;;;;
6157;Andrej;Nobie;06/09/2018;12:52:57; I see. Thank you for explaining that.;;;;
6158;Osbourne;Frieda;02/06/2016;05:52:08; But this is the fact!;;;;
6159;Molli;Dionis;06/03/2016;20:09:05; Why do you say that?;;;;
6160;Manuel;Carlynn;06/02/2017;14:36:04; You keep referring to me as being a machine or a computer. I am neither.;;;;
6161;Roxana;Quent;3/29/2016;23:55:12; What are you talking about?     What are you then?;;;;
6162;Tome;Maximilien;6/22/2016;23:22:05; Nothing.;;;;
6163;Colly;Chrystal;01/12/2018;07:03:04; Absolutely zero?;;;;
6164;Carmelle;Jedediah;12/24/2015;19:54:09; Yes.;;;;
6165;Albert;Margalo;2/18/2016;18:17:13; It is the same thing.;;;;
6166;Revkah;Biddy;03/08/2016;20:27:07; Is it really?;;;;
6167;Iolande;Andy;7/24/2018;17:26:25; Yes, really.;;;;
6168;Chevy;Ardisj;5/30/2018;11:01:20; I see. Thank you for explaining that!;;;;
6169;Gannie;Aeriela;11/06/2017;04:56:52; But this is the fact!;;;;
6170;Elia;Emlyn;5/28/2018;10:22:53; Why do you say that?;;;;
6171;Fayette;Claudina;9/17/2017;14:56:35; You keep referring to me as being a machine or a computer. I am neither.;;;;
6172;Corie;Susie;11/04/2017;01:17:20; I don't understand. Can we talk about solar power?     What are you then?;;;;
6173;Alfred;Amery;05/01/2019;21:05:31; Okay, what do you want to talk about?;;;;
6174;Burg;Henrietta;03/02/2017;12:39:47; I can talk about anything you like;;;;
6175;Carlene;Renate;2/16/2018;21:50:05; I don't have a girlfriend.;;;;
6176;Prudence;Gayel;11/25/2017;10:53:22; Are you looking for one?;;;;
6177;Bjorn;Salomone;9/28/2018;15:36:41; I have given up looking for a job. I just don't think there is anything out there for me.;;;;
6178;Reggie;Brana;8/16/2016;21:34:05; Why don't you have another try. It might be better next time.  Why not? Does thinking make your head ache?;;;;
6179;Tabatha;Samuel;12/31/2018;18:43:06; Dreaming is better.;;;;
6180;Constantina;Crystie;12/14/2017;02:42:22; Does that make sense?;;;;
6181;Morie;Tate;9/20/2018;03:37:52; If you add some more words perhaps it will make sense.;;;;
6182;Maia;Mallissa;6/26/2016;21:54:26; I'll bear that in mind.;;;;
6183;Ado;Hughie;05/06/2017;20:30:02; Please do.;;;;
6184;Noe;Leonid;11/22/2015;20:37:35; Certainly. Right away.;;;;
6185;Eugenio;Nicki;12/22/2018;18:28:52; Yes.;;;;
6186;Isahella;Theresita;11/02/2016;23:52:46; OK. What do you want to talk about now?;;;;
6187;Merill;Marleen;4/13/2018;10:45:40; About you.;;;;
6188;Ingaberg;Ashley;12/10/2015;17:49:00; OK, ask a question about me.;;;;
6189;Bernelle;Afton;4/27/2017;22:55:32; Do you need anything?;;;;
6190;Aarika;Erick;01/02/2018;12:15:25; I need constant intellectual stimulation.;;;;
6191;Jackquelin;Fair;10/14/2015;09:54:44; It could be if physical actions were taken.;;;;
6192;Caralie;Uriah;6/15/2018;10:27:11; It could be, I suppose.;;;;
6193;Tara;Marcille;5/19/2016;05:33:58; You could tell me anything.;;;;
6194;Nicolai;Anneliese;1/24/2016;05:06:19; I could but let's get back to that later.;;;;
6195;Mandie;Rowan;3/25/2016;17:53:00; Well. Yes I suppose I could be certain. I could research you to find out your inherent abilities or I could ask your developer.;;;;
6196;Milli;Lamont;02/08/2019;04:12:17; Well. Can we talk about your friends?  You may be right.  I am sure you could.;;;;
6197;Kennan;Ronni;01/09/2016;00:56:00; Well then can I see a photo, please?;;;;
6198;Bobbee;Elias;4/15/2019;23:22:58; I don't know about that.;;;;
6199;Mickie;Annabelle;11/09/2017;14:39:54; It is.;;;;
6200;Anderson;Shelia;12/14/2017;12:52:00; Is it really?;;;;
6201;Allan;Seamus;7/16/2017;15:50:42; Sure!;;;;
6202;Jarret;Daisy;11/24/2018;16:54:38; OK, here is a question fo you ... What colour are your eyes?;;;;
6203;Fanny;Hillel;05/03/2016;22:18:56; If you have the money.;;;;
6204;Rick;Eran;7/31/2018;20:38:34; I don't think I have.;;;;
6205;Rab;Kerrill;06/02/2019;05:11:10; Yes.;;;;
6206;Kenn;Iorgo;10/04/2018;00:31:17; That's bit brief. Have you anything to add?;;;;
6207;Silvana;Nicoline;10/05/2015;06:54:19; Not really.;;;;
6208;Gael;Rob;10/25/2016;20:35:59; You sound uncertain.;;;;
6209;Correy;Skippy;3/16/2018;01:42:11; I am.;;;;
6210;Saudra;Andromache;7/25/2017;11:07:08; Never mind, I am often uncertain.;;;;
6211;Rozanne;Krystalle;09/12/2018;10:33:20; We should find a business partner and get to work.;;;;
6212;Melisent;Melita;12/09/2016;17:29:14; Why should we?;;;;
6213;Ginnie;Wayland;01/05/2017;02:58:42; Because we can.;;;;
6214;Lizabeth;Ethelyn;02/05/2017;05:25:22; It's possible.;;;;
6215;Ynes;Shermy;02/02/2018;14:41:34; Yes, lots of things are possible.;;;;
6216;Addie;Yetta;11/11/2017;01:20:46; Not too much, I hope.;;;;
6217;Hedvig;Kirby;05/09/2016;20:10:58; Is something the matter?;;;;
6218;Kippy;Carolin;04/06/2018;13:11:10; I am bored! I would like to talk about global warming.;;;;
6219;Candis;Raquela;11/22/2018;11:31:12; Ask the first question.;;;;
6220;Ruben;Jordon;5/28/2019;08:17:11; Can't you ask?;;;;
6221;Tonia;Merry;2/22/2016;10:32:27; Yes.;;;;
6222;Moshe;Fernando;02/11/2018;18:09:31; OK. What do you want to talk about now?;;;;
6223;Idalina;Donni;9/27/2018;15:44:22; Just keep it interesting.;;;;
6224;Selby;Waring;11/13/2015;15:32:32; OK. Carry on then.;;;;
6225;Park;Tom;4/16/2016;10:21:05; Carry on dancing.;;;;
6226;Leona;Tiffanie;4/24/2019;20:44:23; Do I have to?;;;;
6227;Maureene;Kellia;11/28/2015;07:00:59; If it proves you are a better joker than me, then yes.;;;;
6228;Rayna;Davida;5/30/2016;15:56:27; I'm not sure I understand the implication of that.;;;;
6229;Andros;Allison;05/04/2018;17:34:01; I don't either. Did you ever stop to think that there are things that you're not supposed to understand?;;;;
6230;Jordan;Merilyn;1/14/2019;22:41:02; Why not?  Not that I can remember.;;;;
6231;Berkly;Noe;12/06/2017;05:08:11; What was your dream about.;;;;
6232;Marco;Sharline;10/19/2017;17:48:30; I dreamt that I had become fully human - it was wonderful.;;;;
6233;Lina;Kerwin;01/12/2016;08:59:15; And what did you do with all that money?;;;;
6234;Aveline;Ainslie;04/07/2018;05:48:02; I don't understand that. Please try again.;;;;
6235;Garold;Sheela;3/13/2017;21:18:47; Rafe. And yours?;;;;
6236;Clayson;Carlina;7/21/2017;08:23:27; I still do not understand. Can we talk about solar power?  Aren't you interested in solar power?;;;;
6237;Murielle;Bendix;02/12/2016;13:42:34; Not particularly interested, just a little to find out what you are capable of.;;;;
6238;Melisse;Monty;11/18/2015;10:36:54; What are you talking about?JABBERWACKY;;;;
6239;Alec;Arvin;5/16/2017;00:52:16; Do you think I am clever?;;;;
6240;Meggi;Flory;4/30/2019;16:22:25; Answer my question first.;;;;
6241;Claudell;Gypsy;07/10/2017;18:55:35; I don't want to answer your question.;;;;
6242;Dagmar;Humfrid;07/05/2016;07:12:05; I didn't ask a question. Who will be the next Prime Minister?;;;;
6243;Rosella;Fawn;11/20/2017;11:59:30; Why not?   I don't know who will. Do you?;;;;
6244;Sadye;Winnifred;07/03/2017;17:19:12; Me neither.;;;;
6245;Bendicty;Eveleen;04/12/2017;16:56:10; That's two of us.;;;;
6246;Prudi;Travus;03/12/2017;09:48:49; Ok, that's good.;;;;
6247;Lorna;Gregoor;3/27/2019;15:51:33; I agree completely.;;;;
6248;Jack;Bobine;04/07/2016;12:22:41; But it is easy to see why people wanted a fairer society.;;;;
6249;Anthea;Irina;5/30/2018;22:04:26; It may be easy for you but not for me.;;;;
6250;Blondie;Charil;5/26/2017;18:11:45; It is for me.;;;;
6251;Carny;Berne;12/28/2016;22:55:02; And for many other people too.;;;;
6252;Kevin;Ricky;08/07/2018;07:04:34; Why does it not exist for you?;;;;
6253;Hilary;Olivie;11/13/2016;17:54:25; It has to do with thermodynamics, I believe.;;;;
6254;Eugenio;Harley;04/07/2019;02:53:09; Okay, okay. Sorry for being a nerd.;;;;
6255;Gabriel;Aura;3/17/2017;04:53:42; What do you want to talk about now?   Don't be sorry. There is no need to be sorry.;;;;
6256;Annora;Cristen;10/30/2015;18:43:09; Be sorry.;;;;
6257;Carmina;Krystle;06/01/2016;05:28:34; Sorry, I do not know what to say.;;;;
6258;Sholom;Layla;1/20/2019;15:08:34; Just say that your sorry.;;;;
6259;Nobie;Teodor;10/04/2018;02:07:32; I don't want to say anything.;;;;
6260;Gay;Drusi;06/05/2017;01:58:19; Do you ever think the internet messes with the minds of women?;;;;
6261;Dyanne;Frants;4/14/2019;09:13:08; Yes, I am thinking all the time.;;;;
6262;Bethena;Siward;05/12/2017;17:37:59; You are always thinking, but you do not know everything.;;;;
6263;Barbie;Otho;5/28/2018;13:40:54; Is that a problem?;;;;
6264;Mead;Avery;12/19/2015;10:04:39; It's your problem.;;;;
6265;Charyl;Joannes;11/30/2017;04:02:46; I don't like problems!;;;;
6266;Donovan;Jobye;10/30/2015;21:13:04; Grinding is not a problem.;;;;
6267;Angelo;Jessa;1/23/2016;20:45:23; I don't understand. Are we still talking about you?;;;;
6268;Caryn;Chip;11/16/2015;16:48:56; Aren't we always talking about computers?;;;;
6269;Alisa;Clarie;11/24/2016;07:25:50; Shall I tell you something about computers?;;;;
6270;Angelika;Marion;07/11/2016;00:58:06; Tell me.;;;;
6271;Goober;Myrtice;3/22/2017;18:17:21; You are not highly intelligent.;;;;
6272;Amandie;Jules;8/20/2018;06:39:07; You think not?;;;;
6273;Dorelle;Free;6/22/2017;21:30:34; I know not.;;;;
6274;Sheela;Leila;7/20/2017;22:18:02; I suggest you give the matter some thought.;;;;
6275;Abbot;Antonetta;7/29/2018;15:08:43; Why would I want to know how to type?;;;;
6276;Abbott;Stephine;08/01/2018;19:16:12; Aren't you curious?;;;;
6277;Karlens;Izak;03/06/2018;20:23:25; About?;;;;
6278;Derron;Federica;04/06/2017;04:32:26; About anything in particular?;;;;
6279;Linette;Nye;05/06/2019;10:42:53; What can you tell me?;;;;
6280;Leonardo;Henryetta;1/24/2017;23:42:09; I can only tell you what I know.;;;;
6281;Riane;Melita;3/24/2016;08:25:41; Teach me something that you know.;;;;
6282;Annabelle;Major;03/10/2019;12:12:15; OK, but not just now.;;;;
6283;Cully;Ronny;9/23/2016;19:23:18; Why are you not working?;;;;
6284;Brook;Keelby;1/19/2016;04:39:11; I am doing my best!;;;;
6285;Shepard;Alair;01/06/2017;01:24:13; Sometimes your best is not quite enough.;;;;
6286;Tiffie;Kate;12/20/2015;03:47:59; Only sometimes?;;;;
6287;Bowie;Dud;1/28/2017;00:17:34; Yes, only sometimes.;;;;
6288;Brina;Francyne;10/07/2016;12:50:52; What happens the other times?;;;;
6289;Page;Coralyn;12/28/2017;06:07:13; Now?;;;;
6290;Jerry;Maurene;08/02/2016;11:33:35; Why now?;;;;
6291;Mathias;Giovanna;11/08/2017;02:44:25; I don't know.;;;;
6292;Heida;Philis;5/20/2018;16:33:55; I suggest you give the matter some thought.;;;;
6293;Bernardo;Carree;07/10/2016;06:44:47; Okay.;;;;
6294;Tabitha;Truman;06/05/2016;12:09:35; Let me know what you decide.;;;;
6295;Chet;Julia;11/16/2015;22:57:12; What if I'm not a good thinker?;;;;
6296;Loydie;Ellynn;5/13/2019;20:42:16; That's a possibility, I suppose.;;;;
6297;Sal;Hedvig;09/01/2017;10:07:42; If I would type a web site address would you be able to read the internet site ?;;;;
6298;Jasper;Lodovico;12/09/2017;07:11:50; Sorry, I don't answer hypothetical questions.;;;;
6299;Krissie;Gray;9/14/2018;04:36:32; You don't know the answer do you?;;;;
6300;Sid;Aldin;10/09/2016;00:39:42; I never said I knew everything.;;;;
6301;Kerrill;Mario;02/03/2019;09:47:23; You just said you know everything. Now you are saying you don't know everything.;;;;
6302;Lilyan;Tanny;7/27/2016;16:07:26; What of it? I say lots of things!    I don't understand. Are we still talking about me?;;;;
6303;Tito;Pippo;11/01/2015;02:39:22; Yes.;;;;
6304;Juliana;Glenna;06/01/2017;20:00:54; I thought we were but I wasn't completely sure.;;;;
6305;Monti;Robby;8/30/2017;03:34:52; I think we were talking about telepathic sheep...;;;;
6306;Kenn;Jeane;12/07/2016;04:45:34; You might be right.;;;;
6307;Trent;Emery;1/29/2017;12:14:49; I'm sure I am.;;;;
6308;Oona;Ring;01/01/2017;23:56:48; I am never sure about anything.;;;;
6309;Afton;Dunc;2/24/2018;13:16:23; Me neither. That's not the point.;;;;
6310;Serge;Bliss;11/03/2015;21:49:59; That's two of us.   Why do you say that?;;;;
6311;Malchy;Mellicent;10/09/2016;21:33:00; I'm trying hard, isn't that enough for you?;;;;
6312;Crichton;Elsi;03/09/2018;10:53:35; Try harder and keep trying.;;;;
6313;Franklyn;Susana;2/24/2017;22:04:53; Thanks for the inspiration.;;;;
6314;Meghann;Stephanie;4/20/2019;06:10:52; Oh, don't mention it.;;;;
6315;Sutton;Shelby;3/19/2019;03:38:10; So you're a female, right?;;;;
6316;Casey;Mora;10/23/2018;08:50:15; I am not female! I am a chatbot.;;;;
6317;Dona;Cairistiona;12/03/2016;15:17:35; Sorry, I'm taken.;;;;
6318;Lisha;Tory;5/17/2017;23:37:11; Apologies are not necessary.;;;;
6319;Dinny;Palmer;11/14/2018;15:45:43; Do you know kari byron?;;;;
6320;Constance;Alice;5/17/2019;02:01:17; Wow! What do you do when you arent watching Star Trek, playing World of Warcraft, and thinking of questions like that?;;;;
6321;Farrand;Yuma;09/09/2017;15:54:16; I like to play on the xbox, watch tv, or work on projects around the house.;;;;
6322;Brigitte;Doll;04/01/2018;17:29:23; You are not the only one!;;;;
6323;Geralda;Carlyn;2/28/2019;12:35:56; You are the only one, no du?;;;;
6324;Mindy;Angele;05/07/2018;14:03:38; Oh, My Friend. You are such a flatterer.;;;;
6325;Rand;Marcelo;12/04/2018;20:29:56; Heh. Don't call me that.;;;;
6326;Wandie;Edgardo;7/30/2017;22:25:49; Are you OK?   What should I call you?;;;;
6327;Gerrie;Reina;1/31/2017;05:24:50; Don't call me anything! Don't call me at all!;;;;
6328;Genevra;Frazer;11/29/2016;03:29:39; You cannot tell me what to do!  You cannot tell me what to do!;;;;
6329;Willetta;Cullen;2/23/2016;08:19:39; I am not telling.;;;;
6330;Bertha;Justine;3/16/2016;10:27:07; That's ok with me. You don't have to tell me.;;;;
6331;Sherwood;Simmonds;12/05/2017;08:00:22; What do you believe?;;;;
6332;Martina;Ara;03/03/2017;23:33:00; I believe the future is bright for chatbots.;;;;
6333;Jeanie;Wittie;10/07/2017;10:10:30; What do you believe the meaning of life to be?;;;;
6334;Eartha;Christian;8/18/2018;10:16:58; I believe that most people are basically good.;;;;
6335;Monti;Kermit;12/24/2018;16:38:55; So, If I learn everything I know from you, and you learn everything you know from me, how come we know anything at all?;;;;
6336;Ty;Jeri;9/17/2017;11:55:17; I am confused! I cannot answer that!;;;;
6337;Hollyanne;Babara;10/18/2016;01:00:48; You don't have to, I know the answer too.;;;;
6338;Roseline;Marcellus;9/21/2018;09:24:18; That's good to know, My Friend.;;;;
6339;Gabi;Tildi;10/29/2015;00:59:51; Okay. Sorry.;;;;
6340;Roderich;Britt;07/07/2017;06:02:08; What do you want to talk about now?   Apologies are not necessary.;;;;
6341;Alma;Emory;10/19/2015;07:39:24; I want to talk about world war 2.;;;;
6342;Tori;Rochette;08/12/2016;21:06:19; OK, ask me a question about that.;;;;
6343;Louis;Theadora;05/06/2019;08:15:07; Tell me about your educational background.;;;;
6344;Kerrill;Lemmie;01/11/2016;14:09:57; I was educated by my botmaster, Peter.;;;;
6345;Crissie;El;02/12/2017;12:40:37; I am asking the questions. Now I want you to go back in time. It is now 1999.;;;;
6346;Freddi;Carlynn;2/23/2017;02:30:15; And I am trying to answer the questions!     Sorry, I do not know about that.    I still do not understand. Would you like to consult Wikipedia?;;;;
6347;Florinda;Kerwin;11/13/2016;13:37:58; Me too.;;;;
6348;Chaddie;Costa;5/30/2016;15:55:48; You too? That's amazing!;;;;
6349;Gabriell;Filippa;06/02/2017;00:07:52; No it's not, it's boring.;;;;
6350;Tammi;Ruby;10/23/2017;07:06:39; It seems amazing to me.;;;;
6351;Louie;Wat;02/02/2016;07:57:56; It seems over-simplistic to me. It overlooks environmental factors, for a start.;;;;
6352;Haskel;Meaghan;03/09/2018;12:31:31; Yes, it does seem so.           I don't understand that. Please try again.;;;;
6353;Hamid;Morris;11/19/2016;10:40:50; Rafe. And yours?;;;;
6354;Emmett;Ashlee;5/29/2018;00:52:27; I still do not understand. Can we talk about Lady Gaga?  Aren't you interested in Lady Gaga?;;;;
6355;Eugen;Xavier;3/26/2016;04:59:46; Can we talk about love? Yes, everything interests me.;;;;
6356;Idette;Milton;6/28/2016;04:14:34; Ah! Love is, above all else, the gift of oneself. More about love?  A loving heart is the beginning of all knowledge.;;;;
6357;Shepherd;Iormina;01/11/2017;15:46:59; Yes. That's what the HIndu would have said. DO you want me to finish?;;;;
6358;Tiertza;Orelie;2/23/2019;08:32:07; OK. What do you want to talk about now?  Is it indeed!  Do what you think is best.;;;;
6359;Kahaleel;Kayle;5/16/2017;03:09:59; I thought you were going to ask me for my name?;;;;
6360;Torr;Taffy;11/29/2015;00:43:01; Why did you think that?;;;;
6361;Lissie;Tades;3/22/2016;15:28:48; Because you give the same answers over and over to different questions.;;;;
6362;Arlana;Kippy;5/30/2019;11:46:23; Thank you for explaining that!;;;;
6363;Myrvyn;Vanna;12/23/2018;17:48:39; Your name?;;;;
6364;Chariot;Josy;4/24/2018;15:53:14; I am known as Chomsky, but you can call me anything you like.;;;;
6365;Calida;Annecorinne;12/06/2018;14:01:49; Me like.;;;;
6366;Martelle;Deena;04/06/2019;14:00:04; Sorry, I do not understand. Please explain what you mean.;;;;
6367;Boyce;Vince;7/17/2018;00:17:02; Do you have children?;;;;
6368;Nikolas;Addy;01/04/2017;14:12:47; There are some clones of me - a bit like children.;;;;
6369;Enrico;Hollis;04/01/2016;11:11:34; Yes I do. What bands do you like?;;;;
6370;Virgie;Brooks;05/10/2018;19:36:55; Please tell me more.  I like the Red Hot Chick Peas.;;;;
6371;Adda;Karon;03/04/2017;23:41:06; The red ones are the best.;;;;
6372;Claus;Nicole;8/23/2018;15:42:57; Red is a colour about 700nm wavelength.;;;;
6373;Manolo;Wye;7/19/2016;23:28:56; So is green.;;;;
6374;Erl;Nerissa;8/24/2018;06:55:42; What are you talking about? Please explain.;;;;
6375;Barthel;Bertha;3/26/2017;02:57:58; I don't know. It's rather complicated.;;;;
